22:59:23.494 [main] INFO  testCases.TC_001_AccountRegistrationTest - Providing Customer details....
22:59:26.445 [main] INFO  testCases.TC_001_AccountRegistrationTest - Clicked on continue button....
22:59:26.487 [main] INFO  testCases.TC_001_AccountRegistrationTest - test passed
22:59:26.490 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** Finished  TC_001_AccountRegistrationTest *********
22:59:26.634 [main] INFO  testCases.TC_002_LoginTest - launching chromebrowser
22:59:29.293 [main] INFO  testCases.TC_002_LoginTest - **************Starting TC_002_LoginTest**************
22:59:30.230 [main] INFO  testCases.TC_002_LoginTest - test passed
22:59:30.230 [main] INFO  testCases.TC_002_LoginTest - *****finished Login testcase*********
19:41:25.696 [main] INFO  testCases.TC_001_AccountRegistrationTest - launching chromebrowser
19:41:31.608 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** TC_001_AccountRegistrationTest *********
19:41:41.838 [main] INFO  testCases.TC_002_LoginTest - launching chromebrowser
19:41:46.981 [main] INFO  testCases.TC_002_LoginTest - **************Starting TC_002_LoginTest**************
19:41:56.997 [main] ERROR testCases.TC_002_LoginTest - test failed
19:42:22.324 [main] INFO  testCases.TC_001_AccountRegistrationTest - launching chromebrowser
19:42:25.040 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** TC_001_AccountRegistrationTest *********
19:42:25.087 [main] INFO  testCases.TC_001_AccountRegistrationTest - clicked on my account link
19:42:25.262 [main] INFO  testCases.TC_001_AccountRegistrationTest - Providing Customer details....
19:42:27.743 [main] INFO  testCases.TC_001_AccountRegistrationTest - Clicked on continue button....
19:42:27.759 [main] INFO  testCases.TC_001_AccountRegistrationTest - test passed
19:42:27.761 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** Finished  TC_001_AccountRegistrationTest *********
19:42:27.863 [main] INFO  testCases.TC_002_LoginTest - launching chromebrowser
19:42:29.119 [main] INFO  testCases.TC_002_LoginTest - **************Starting TC_002_LoginTest**************
19:42:29.608 [main] INFO  testCases.TC_002_LoginTest - test passed
19:42:29.608 [main] INFO  testCases.TC_002_LoginTest - *****finished Login testcase*********
